Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea Imports,South Korea DomesticFeed,South Korea DomesticTotal,South Korea Exports,South Korea EndingStocks,South Africa BeginningStocks,South Africa Production,South Africa Imports,South Africa DomesticFeed,South Africa DomesticTotal,South Africa Exports,South Africa EndingStocks,Canada BeginningStocks,Canada Production,Canada Imports,Canada DomesticFeed,Canada DomesticTotal,Canada Exports,Canada EndingStocks,Ukraine BeginningStocks,Ukraine Production,Ukraine Imports,Ukraine DomesticFeed,Ukraine DomesticTotal,Ukraine Exports,Ukraine EndingStocks,Egypt BeginningStocks,Egypt Production,Egypt Imports,Egypt DomesticFeed,Egypt DomesticTotal,Egypt Exports,Egypt EndingStocks,Southeast Asia BeginningStocks,Southeast Asia Production,Southeast Asia Imports,Southeast Asia DomesticFeed,Southeast Asia DomesticTotal,Southeast Asia Exports,Southeast Asia EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticFeed,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2008/3/11,93.6,86.5,151.1,1304,13074,15,14393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.31,1.91,11,0.25,4.5,9.1,1.5,2.56,1.34,11.65,2,9.2,12.7,0.4,1.89,1.07,7.4,0,5,5.6,1.5,1.37,0.91,5.98,5,9.1,11.2,0,0.69,1.91,17.44,3.65,15.1,20.95,0.24,1.82,10.08,47.48,10.5,47.1,62.1,0.3,5.65
2008/4/9,93.6,86.5,151.1,1304,13074,15,14393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.31,1.91,11,0.25,4.5,9.1,1.5,2.56,1.34,11.65,2,9.2,12.7,0.4,1.89,1.07,7.4,0,5,5.6,1.5,1.37,0.92,6.17,4.2,8.3,10.4,0,0.89,1.91,17.94,3.45,15.4,21.25,0.24,1.82,10.08,47.72,11.5,48.1,63.1,0.3,5.9
2008/5/9,93.6,86.5,151.1,1304,13074,15,14393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.34,1.91,11.5,0.2,4.3,8.7,2.1,2.81,1.34,11.65,2,9.4,12.9,0.4,1.69,1.07,7.4,0.02,5,5.7,1,1.79,0.92,6.17,4.2,8.3,10.4,0,0.89,2.01,17.94,3.55,15.3,21.15,0.51,1.84,8.76,48.39,13,49,61.8,0.35,8.01
2008/6/10,93.6,86.5,151.1,1304,13074,15,14393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,7,8.9,0,1.34,1.91,11.5,0.2,4.3,8.7,2.1,2.81,1.34,11.65,2.5,9.8,13.3,0.6,1.59,1.07,7.4,0.02,5,5.7,1.5,1.29,0.92,6.17,4.2,8.3,10.4,0,0.89,1.76,18.69,3.55,15.75,21.7,0.51,1.79,8.76,48.39,13,49,61.8,0.35,8.01
2008/7/11,93.6,86.5,151.1,1304,13074,15,14393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.2,9.1,0,1.44,1.66,11.5,0.2,4.3,8.7,2.1,2.56,1.34,11.65,2.8,9.9,13.5,0.6,1.69,1.07,7.4,0.02,5,5.7,1.5,1.29,0.92,6.17,4.2,8.3,10.4,0,0.89,1.73,18.69,3.55,15.75,21.7,0.51,1.76,8.76,48.39,13,49,61.8,0.5,7.86
2008/8/12,93.6,86.5,151.1,1304,13074,18,14396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.2,9.1,0,1.44,1.66,12,0.2,4.7,9.1,1.5,3.26,1.34,11.65,3.1,10.2,13.8,0.6,1.69,1.07,7.4,0.02,5,5.7,2,0.79,0.92,6.17,4.2,8.3,10.4,0,0.89,1.73,18.69,3.15,15.35,21.3,0.51,1.76,7.38,47.32,13,48.5,61.5,0.5,5.71
2008/9/12,93.6,86.5,151.1,1304,13074,18,14396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.2,9.1,0,1.44,1.66,12.5,0.2,5,9.6,1.5,3.26,1.34,11.65,3.2,10.2,13.8,0.75,1.64,1.07,7.4,0.02,5,5.7,2,0.79,0.92,6.17,4.2,8.3,10.4,0,0.89,1.73,18.69,3.15,15.35,21.3,0.51,1.76,7.38,47.31,13,48.5,61.5,0.5,5.7
2008/10/10,93.6,86.5,151.1,1304,13074,18,14396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,7.2,9.1,0,1.44,1.66,12.5,0.2,5,9.6,1.5,3.26,1.34,11.65,3.2,10.35,13.85,0.9,1.45,1.07,7.4,0.02,5,5.7,2,0.79,0.92,6.17,4.2,8.3,10.4,0,0.89,1.73,18.69,3.15,15.35,21.3,0.55,1.72,7.38,47.37,13.5,49,62,0.5,5.75
2008/11/10,93.6,86.5,151.1,1304,13074,20,14398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,7.05,8.64,0,2.11,1.66,12.5,0.2,5,9.7,2,2.66,1.34,11.65,3.18,10.28,13.84,0.89,1.45,1.07,7.4,0.02,5,5.7,2.15,0.64,0.92,6.17,4.2,8.3,10.4,0,0.89,1.73,18.69,3.15,15.35,21.3,0.55,1.72,7.38,47.52,13.5,50,63,0.5,4.9
2008/12/12,93.6,86.5,151.1,1304,13074,20,14398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,7.05,8.64,0,2.11,1.66,13.16,0.2,5,9.7,2,3.33,1.31,11.65,3.18,10.28,13.84,0.89,1.42,1.07,7.4,0.02,5,5.7,2.07,0.72,0.92,6.17,4.15,8.3,10.4,0,0.85,1.73,18.69,3.15,15.35,21.3,0.55,1.72,7.38,47.52,13.5,50,63,0.5,4.9
2009/1/12,93.5,86.5,150.7,1304,13038,20,14362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,7.05,8.64,0,2.11,1.66,13.16,0.2,5,9.7,2,3.33,1.34,11.65,3.18,10.26,13.83,0.89,1.46,1.07,7.4,0.02,5,5.7,2.07,0.72,0.92,6.17,4.15,8.3,10.4,0,0.85,1.73,18.69,3.15,15.35,21.3,0.55,1.72,7.38,47.67,14.02,50.5,63.5,0.59,4.97
2009/2/10,93.5,86.5,150.7,1304,13038,20,14362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,7.05,8.64,0,2.11,1.66,13.16,0.2,5,9.7,2,3.33,1.34,11.65,3.18,10.26,13.83,0.89,1.46,1.07,7.4,0.02,5,5.7,2.07,0.72,0.92,6.17,4.15,8.3,10.4,0,0.85,1.73,18.69,3.15,15.35,21.3,0.55,1.72,7.38,47.67,14.02,50.5,63.5,0.59,4.97
2009/3/11,93.5,86.5,150.7,1304,13038,20,14362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,7.05,8.64,0,2.11,1.66,13.16,0.05,4.3,9.2,2,3.68,1.34,11.65,3.18,10.26,13.83,0.89,1.46,1.07,7.4,0.02,5,5.7,2.07,0.72,0.92,6.17,4.15,8.3,10.4,0,0.85,1.73,18.69,3.15,15.35,21.3,0.55,1.72,7.38,47.67,14.02,50.5,63.5,0.59,4.97
2009/4/9,93.5,86.5,150.7,1304,13038,20,14362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,7.05,8.64,0,2.11,1.66,13.16,0.05,4.3,9.2,2,3.68,1.34,11.65,3.18,10.18,13.77,0.94,1.46,1.07,7.4,0.02,5,5.7,2.07,0.72,0.92,6.17,4.15,8.3,10.4,0,0.85,1.73,18.72,3.1,15.25,21.2,0.59,1.76,7.38,47.67,14.02,50.5,63.5,0.59,4.97
